outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	NAAA	Wald ratio	1	-0.0524139236067392	0.0414284458056991	0.205811286676088	0.853276546400775	0.948935998528688	1.02920414639474	0.874928003795923
I35.0 and I35.2 UKB	CST3	Wald ratio	1	0.0508779533907098	0.0627281230760629	0.4173158185881	0.930842776908328	1.05219446867925	1.18984741310417	0.93046653522647
I35.0 and I35.2 UKB	TPSAB1;TPSB2	Wald ratio	1	0.0526351848152975	0.0426573354322412	0.21723756060946	0.85896874622625	1.05404504333217	1.14596097245412	0.969501562512935
I35.0 and I35.2 UKB	TNFRSF6B	Wald ratio	1	-0.159797793308509	0.12470640121299	0.200055988925318	0.853276546400775	0.852316115564661	1.08831078222141	0.667495693985915
I35.0 and I35.2 UKB	CPB1	Wald ratio	1	0.0250026899976099	0.0941344565585353	0.790542553508932	0.980850561285113	1.02531787862336	1.2330690507597	0.852569247096921
I35.0 and I35.2 UKB	HDGF	Wald ratio	1	-0.0824738214562123	0.0802008895314409	0.303789694480285	0.91471337431893	0.920835543674877	1.07758230154746	0.786889407219594
I35.0 and I35.2 UKB	CDNF	Wald ratio	1	0.133785437494993	0.093408278437296	0.152067905068333	0.832472969204951	1.1431475167344	1.37281813958592	0.95190047926537
I35.0 and I35.2 UKB	SIRPB1	Wald ratio	1	-0.0037167548889991	0.030031945650883	0.901505269486349	0.980850561285113	0.996290143695025	1.05669473143573	0.939338506093636
I35.0 and I35.2 UKB	SVEP1	Wald ratio	1	-0.0614095071023714	0.0509880326520698	0.228438644543446	0.85896874622625	0.940438044852657	1.03927882685136	0.850997531514973
I35.0 and I35.2 UKB	LANCL1	Wald ratio	1	0.270325039369808	0.171309816816715	0.114568092857133	0.776525462042677	1.31039030995954	1.83325354246353	0.936653182258903
I35.0 and I35.2 UKB	PIANP	Wald ratio	1	0.0223497649461255	0.0966257031901154	0.817079818822518	0.980850561285113	1.02260139204829	1.23582176207845	0.84616862973863
I35.0 and I35.2 UKB	IL6ST	Wald ratio	1	0.00178121946237816	0.0837478371922435	0.983031199217549	0.994579509715796	1.00178280677608	1.18048689984667	0.850131239984535
I35.0 and I35.2 UKB	SEMA3G	Wald ratio	1	0.0998432466260434	0.0982725460441599	0.309637431226674	0.91471337431893	1.10499769238265	1.33971571285978	0.911402238885873
I35.0 and I35.2 UKB	FCGR2B	Wald ratio	1	0.0482007343562411	0.0197141812266449	0.0144861080591948	0.448489905512671	1.04938128105976	1.09072272781574	1.00960679094298
I35.0 and I35.2 UKB	BCHE	Wald ratio	1	-0.0700445750782103	0.0535073395082803	0.190512399075559	0.853276546400775	0.932352259304793	1.03544347204941	0.839525052690919
I35.0 and I35.2 UKB	LILRB5	Wald ratio	1	-0.00569464434517604	0.0179312124618159	0.750801436167817	0.980031146911782	0.994321539407122	1.02988848777042	0.959982886952454
I35.0 and I35.2 UKB	ECM1	Wald ratio	1	0.0104395852427469	0.0244651031753005	0.669588152235025	0.967189539621898	1.01049426783497	1.06012962402791	0.963182843101503
I35.0 and I35.2 UKB	TCN2	Wald ratio	1	-0.0284196907974344	0.0283414051869994	0.315975594260702	0.91471337431893	0.97198034997861	1.02750081787063	0.919459901455272
I35.0 and I35.2 UKB	EPHB2	Wald ratio	1	-0.00586574961261026	0.0627849609092296	0.925565112366294	0.982977971126859	0.994151420308758	1.1243361513188	0.879040530132067
I35.0 and I35.2 UKB	C1RL	Wald ratio	1	-0.122432230251611	0.085906630511378	0.154105786386445	0.832472969204951	0.884765863271717	1.04701657797566	0.747658298137418
