outcome	exposure	method	nsnp	b	se	pval	FDR	OR	UCI	LCI
I35.0 and I35.2 UKB	GPC5	Wald ratio	1	0.0155228606386498	0.0264441156976287	0.557199523162776	0.962179532572331	1.01564396606263	1.06967335632558	0.964343609850046
I35.0 and I35.2 UKB	ENPP2	Wald ratio	1	-0.151832836164362	0.0857365126621409	0.0765733636039949	0.714781009774399	0.859131884519245	1.01634283539866	0.726238793928296
I35.0 and I35.2 UKB	CCL22	Wald ratio	1	0.0805835231636007	0.125189522822585	0.519775029192302	0.947775389503631	1.08391937523689	1.3853530098154	0.848073526162463
I35.0 and I35.2 UKB	CLEC1B	Wald ratio	1	0.24136002194459	0.141441392354263	0.0879278032931833	0.714781009774399	1.27297925328521	1.67964951723761	0.964770425415676
I35.0 and I35.2 UKB	VASN	Wald ratio	1	0.0372659647456186	0.0480637698987229	0.43813630383875	0.939768634877549	1.0379690473035	1.140504779851	0.944651668448852
I35.0 and I35.2 UKB	GSTP1	Wald ratio	1	0.0893908557792605	0.0999623134042243	0.371190516027205	0.925805587782519	1.09350797672294	1.3301836162714	0.898943334235684
I35.0 and I35.2 UKB	GBP2	Wald ratio	1	0.0863854922121149	0.202092648244411	0.669048029518726	0.9822509460964	1.09022652114273	1.62009871532103	0.733655212588364
I35.0 and I35.2 UKB	NPPB	Wald ratio	1	-0.124793123900295	0.115431307645825	0.279651334119008	0.887630514439173	0.882679488987534	1.10677705644524	0.70395666023444
I35.0 and I35.2 UKB	GAS6	Wald ratio	1	-0.165351053166995	0.0648746784557378	0.0108101567886054	0.414844452063042	0.847596100558208	0.962523609862524	0.746391197390047
I35.0 and I35.2 UKB	CCL5	Wald ratio	1	0.175773564225048	0.119213884508212	0.140363512591682	0.827465689700105	1.1921680785825	1.50596332706258	0.943757860533898
I35.0 and I35.2 UKB	HPCAL1	Wald ratio	1	-0.139849705334385	0.133399334295257	0.294475609090067	0.897883560528309	0.86948890512333	1.12931696010928	0.669440894662038
I35.0 and I35.2 UKB	FCGR2B	Wald ratio	1	-0.00245987089692931	0.0453043913873692	0.956698920276354	0.993422964173093	0.997543152106245	1.09017336736538	0.912783571955073
I35.0 and I35.2 UKB	TGFBI	Wald ratio	1	0.0042895603186249	0.037993506930409	0.910107887629834	0.985377031012477	1.00429877365149	1.08194119866097	0.932228135878529
I35.0 and I35.2 UKB	CPXM1	Wald ratio	1	0.0820478650917502	0.0662967746748338	0.215870140267225	0.855327224845981	1.08550776651492	1.23613495930938	0.953235002610504
I35.0 and I35.2 UKB	IRAK4	Wald ratio	1	0.0739017895199445	0.287731609133697	0.797300135472545	0.9822509460964	1.07670105697582	1.89241869444418	0.612594437740605
I35.0 and I35.2 UKB	ABHD14B	Wald ratio	1	0.0297996718343085	0.0672608691284185	0.657732324975954	0.9822509460964	1.0302481255623	1.1754263999328	0.903000987799247
I35.0 and I35.2 UKB	GRN	Wald ratio	1	-0.0578841437168922	0.09112759609994	0.525298736981498	0.947775389503631	0.943759281545663	1.12831564903911	0.789390435435422
I35.0 and I35.2 UKB	NELL1	Wald ratio	1	0.0370492070253521	0.0594159432711286	0.532918782106515	0.954941170248668	1.03774408388126	1.16591298222847	0.923664801786665
I35.0 and I35.2 UKB	MPI	Wald ratio	1	0.0115676998740437	0.100707717051675	0.908552851836125	0.985377031012477	1.01163486444425	1.23238932444896	0.830423534719224
